hrmonth,hryear4,pwsswgt,prtage,pemlr,peeduca,gestfips
10,2019,17946601,80,5,34,1
10,2019,20127068,19,1,39,1
10,2019,15105626,13,-1,-1,1
10,2019,-1,-1,-1,-1,1
10,2019,18193757,62,5,39,1
10,2019,23986074,40,1,35,1
10,2019,24969980,14,-1,-1,1
10,2019,16648682,50,1,39,1
10,2019,18071324,59,1,36,1
10,2019,18981415,30,1,42,1
10,2019,4446801,37,1,46,2
10,2019,4446801,36,1,39,2
10,2019,22816848,44,1,43,1
10,2019,18380695,54,1,40,1
10,2019,20734135,31,1,42,1
10,2019,21297933,18,7,39,1
10,2019,13670148,3,-1,-1,1
10,2019,22692523,62,1,43,1
10,2019,-1,-1,-1,-1,1
10,2019,-1,-1,-1,-1,1
10,2019,-1,-1,-1,-1,1
10,2019,17102205,25,7,37,1
10,2019,19777817,85,5,43,1
10,2019,6055595,46,1,38,2
10,2019,20001249,3,-1,-1,1
10,2019,24608173,12,-1,-1,1
10,2019,21803551,39,1,43,1
10,2019,18832736,19,1,39,1
10,2019,-1,-1,-1,-1,1
10,2019,16755377,56,6,41,1
10,2019,14220987,7,-1,-1,1
10,2019,19068128,80,6,40,1
10,2019,22169734,26,2,39,1
10,2019,18441377,31,1,43,1
10,2019,23015087,2,-1,-1,1
10,2019,25545845,21,1,39,1
10,2019,20888484,2,-1,-1,1
10,2019,36219708,25,1,42,1
10,2019,22874323,15,7,35,1
10,2019,18333777,36,1,39,1
10,2019,41902350,26,2,42,1
10,2019,-1,-1,-1,-1,1
10,2019,22364003,19,7,37,1
10,2019,10224806,17,7,36,2
10,2019,22178737,49,1,46,1
10,2019,17856729,33,7,39,1
10,2019,17738725,25,7,35,1
10,2019,21711241,10,-1,-1,1
10,2019,19474424,50,1,43,1
10,2019,18587703,68,5,43,1
10,2019,15706861,12,-1,-1,1
10,2019,15180609,15,7,35,1
10,2019,20563682,40,1,42,1
10,2019,17360090,55,1,43,1
10,2019,0,35,-1,43,2
10,2019,-1,-1,-1,-1,2
10,2019,15142209,1,-1,-1,1
10,2019,22396744,38,1,39,1
10,2019,16491066,63,1,46,1
10,2019,16650944,63,6,39,1
10,2019,20890592,14,-1,-1,1
10,2019,27855915,20,7,39,1
10,2019,18921908,4,-1,-1,1
10,2019,17396422,59,1,43,1
10,2019,16190752,67,5,44,1
10,2019,18439740,61,1,39,1
10,2019,17884645,80,6,39,1
10,2019,22603048,43,1,43,1
10,2019,22874323,15,7,35,1
10,2019,17688088,39,1,40,1
10,2019,18658791,34,1,41,1
10,2019,18494633,14,-1,-1,1
10,2019,0,25,-1,40,1
10,2019,22065798,17,7,37,1
10,2019,19209581,43,1,44,1
10,2019,18157914,57,1,42,1
10,2019,18614549,79,5,39,1
10,2019,-1,-1,-1,-1,1
10,2019,18616682,61,5,44,1
10,2019,15575266,56,1,39,1
10,2019,31804912,47,1,39,1
10,2019,18105245,46,1,43,1
10,2019,33905471,5,-1,-1,1
10,2019,18253703,61,1,44,1
10,2019,-1,-1,-1,-1,1
10,2019,30930919,37,1,43,1
10,2019,33905471,7,-1,-1,1
10,2019,18959423,1,-1,-1,1
10,2019,21531788,52,6,37,1
10,2019,41714698,1,-1,-1,1
10,2019,36232714,35,7,39,1
10,2019,19421084,68,5,40,1
10,2019,20661832,66,5,40,1
10,2019,14321107,10,-1,-1,1
10,2019,32678143,23,7,39,1
10,2019,18056205,63,1,43,1
10,2019,17128678,80,5,43,1
10,2019,19918395,12,-1,-1,1
10,2019,15636640,76,5,46,1
10,2019,16947924,71,5,41,1
10,2019,17598703,60,1,39,1
10,2019,19439635,71,5,45,1
10,2019,19201308,60,1,40,1
10,2019,-1,-1,-1,-1,1
10,2019,19682360,25,2,43,1
10,2019,-1,-1,-1,-1,1
10,2019,16886279,41,1,41,1
10,2019,16923282,42,1,40,1
10,2019,18697209,78,5,36,1
10,2019,-1,-1,-1,-1,1
10,2019,-1,-1,-1,-1,1
10,2019,18234968,45,7,37,1
10,2019,18380695,50,1,43,1
10,2019,16308103,67,5,39,1
10,2019,15536932,73,5,34,1
10,2019,16809329,43,1,39,1
10,2019,14734245,85,5,37,1
10,2019,17724283,61,1,43,1
10,2019,16964577,44,1,44,1
10,2019,15547849,68,7,39,1
10,2019,22178737,49,1,41,1
10,2019,19152525,47,1,41,1
10,2019,17280941,70,5,46,1
10,2019,18883160,40,1,39,1
10,2019,19051299,12,-1,-1,1
10,2019,22710176,47,1,37,1
10,2019,19639543,17,6,37,1
10,2019,14749785,11,-1,-1,1
10,2019,19513148,33,1,44,1
10,2019,19759073,33,1,43,1
10,2019,18405557,65,5,43,1
10,2019,21674263,23,1,43,1
10,2019,24024156,18,7,39,1
10,2019,22861750,39,1,44,1
10,2019,17449884,10,-1,-1,1
10,2019,-1,-1,-1,-1,1
10,2019,19778731,69,1,44,1
10,2019,22670482,65,1,44,1
10,2019,16154956,56,1,41,1
10,2019,19095785,42,1,41,1
10,2019,27746486,23,7,39,1
10,2019,18981930,39,1,44,1
10,2019,15773469,51,1,39,1
10,2019,19095785,43,1,40,1
10,2019,-1,-1,-1,-1,1
10,2019,18800563,74,5,40,1
10,2019,20836154,38,1,44,1
10,2019,20288079,73,5,34,1
10,2019,19485983,4,-1,-1,1
10,2019,19708302,48,4,39,1
10,2019,22170497,16,7,34,1
10,2019,26164105,63,1,40,1
10,2019,-1,-1,-1,-1,1
10,2019,21947341,21,1,39,1
10,2019,15693498,10,-1,-1,1
10,2019,35474176,31,7,39,1
10,2019,19888062,72,5,40,1
10,2019,19342285,70,5,39,1
10,2019,22333015,21,1,39,1
10,2019,16979413,76,5,40,1
10,2019,19160416,50,1,42,1
10,2019,18566561,54,1,44,1
10,2019,18473084,12,-1,-1,1
10,2019,18060629,74,5,39,1
10,2019,-1,-1,-1,-1,1
10,2019,-1,-1,-1,-1,1
10,2019,-1,-1,-1,-1,1
10,2019,-1,-1,-1,-1,1
10,2019,17290843,73,5,43,1
10,2019,19806504,41,6,35,1
10,2019,-1,-1,-1,-1,1
10,2019,21346558,51,1,43,1
10,2019,32720086,39,1,43,1
10,2019,16923282,40,1,39,1
10,2019,-1,-1,-1,-1,1
10,2019,19005047,33,1,39,1
10,2019,27205498,21,1,40,1
10,2019,21769210,21,7,40,1
10,2019,18290869,7,-1,-1,1
10,2019,3353441,69,5,39,2
10,2019,20697939,21,1,40,1
10,2019,25062477,1,-1,-1,1
10,2019,17360090,55,7,40,1
10,2019,6782702,3,-1,-1,2
10,2019,22236102,61,6,40,1
10,2019,19153282,36,1,39,1
10,2019,24294234,14,-1,-1,1
10,2019,19175613,46,7,39,1
10,2019,18105245,49,6,39,1
10,2019,17170602,75,6,34,1
10,2019,15974272,58,1,39,1
10,2019,17195405,13,-1,-1,1
10,2019,-1,-1,-1,-1,1
10,2019,17479089,36,1,43,1
10,2019,-1,-1,-1,-1,1
10,2019,5791570,12,-1,-1,2
10,2019,14923289,14,-1,-1,1
10,2019,17789213,18,7,37,1
10,2019,16484774,74,5,42,1
10,2019,15636640,80,5,45,1
10,2019,22674155,56,1,44,1
10,2019,15333619,7,-1,-1,1
10,2019,16154956,59,1,40,1
10,2019,17232028,10,-1,-1,1
10,2019,17170602,77,5,41,1
10,2019,15693498,11,-1,-1,1
10,2019,20836154,39,1,43,1
10,2019,-1,-1,-1,-1,1
10,2019,19327776,33,1,43,1
10,2019,20016105,38,1,44,1
10,2019,17456353,12,-1,-1,1
10,2019,18298644,14,-1,-1,1
10,2019,25063310,27,1,43,1
10,2019,26775940,28,1,43,1
10,2019,22969635,4,-1,-1,1
10,2019,17720164,32,1,39,1
10,2019,12197728,14,-1,-1,1
10,2019,-1,-1,-1,-1,1
10,2019,-1,-1,-1,-1,1
10,2019,5858376,18,7,37,2
10,2019,17724575,57,1,42,1
10,2019,18659065,16,7,35,1
10,2019,19458863,29,1,43,1
10,2019,4040875,70,5,44,2
10,2019,18065282,71,6,35,1
10,2019,23021208,53,6,36,1
10,2019,18587703,68,1,41,1
10,2019,7094815,39,1,44,2
10,2019,15773469,50,7,41,1
10,2019,20483971,49,1,38,1
10,2019,-1,-1,-1,-1,1
10,2019,14962270,57,1,39,1
10,2019,22176851,40,2,39,1
10,2019,19647952,15,7,36,1
10,2019,17170602,78,5,35,1
10,2019,20849866,80,5,33,1
10,2019,24346372,3,-1,-1,1
10,2019,20000516,76,1,44,1
10,2019,19806504,42,1,43,1
10,2019,18081076,64,7,42,1
10,2019,37201608,6,-1,-1,1
10,2019,21668846,49,6,40,1
10,2019,19309570,60,6,39,1
