"snum","state","unemployed"
"1","AL",4448319
"10","DE",1079750
"11","DC",1301665
"12","FL",26242287
"13","GA",11294538
"15","HI",1913892
"16","ID",1854317
"17","IL",16165174
"18","IN",6884158
"19","IA",3750852
"2","AK",653664
"20","KS",3142113
"21","KY",4329780
"22","LA",3736374
"23","ME",1742242
"24","MD",6927871
"25","MA",10298706
"26","MI",10795127
"27","MN",8123654
"28","MS",1873474
"29","MO",6723350
"30","MT",1254996
"31","NE",2737998
"32","NV",2643969
"33","NH",1968024
"34","NJ",13437087
"35","NM",1631243
"36","NY",24505571
"37","NC",12502025
"38","ND",989686
"39","OH",12122854
"4","AZ",8331440
"40","OK",3666433
"41","OR",5049886
"42","PA",15590984
"44","RI",1475741
"45","SC",6206996
"46","SD",1247291
"47","TN",7596788
"48","TX",31639100
"49","UT",3712804
"5","AR",2487661
"50","VT",836239
"51","VA",12132315
"53","WA",9327070
"54","WV",1401671
"55","WI",6577224
"56","WY",479587
"6","CA",50119372
"8","CO",9381866
"9","CT",4822855
