"snum","state","unemployed"
"1","AL",42510
"10","DE",9497
"11","DC",24132
"12","FL",535463
"13","GA",177800
"15","HI",58940
"16","ID",49364
"17","IL",357857
"18","IN",110493
"19","IA",106717
"2","AK",11840
"20","KS",38619
"21","KY",32093
"22","LA",61180
"23","ME",19880
"24","MD",195725
"25","MA",252330
"26","MI",105159
"27","MN",191501
"28","MS",34556
"29","MO",187994
"30","MT",60398
"31","NE",46017
"32","NV",35497
"33","NH",76418
"34","NJ",384215
"35","NM",100505
"36","NY",723028
"37","NC",312973
"38","ND",5105
"39","OH",180626
"4","AZ",325999
"40","OK",53888
"41","OR",22744
"42","PA",642523
"44","RI",40284
"45","SC",95759
"46","SD",12109
"47","TN",94875
"48","TX",638804
"49","UT",59996
"5","AR",53657
"50","VT",3910
"51","VA",245518
"53","WA",27726
"54","WV",26267
"55","WI",122138
"56","WY",16062
"6","CA",1362648
"8","CO",306347
"9","CT",151881
