"snum","state","unemployed"
"1","AL",408226
"10","DE",185655
"11","DC",218667
"12","FL",1905510
"13","GA",906168
"15","HI",154597
"16","ID",148910
"17","IL",873431
"18","IN",541139
"19","IA",338684
"2","AK",68445
"20","KS",416897
"21","KY",359460
"22","LA",375298
"23","ME",97513
"24","MD",1210061
"25","MA",1804434
"26","MI",990043
"27","MN",645224
"28","MS",82420
"29","MO",579000
"30","MT",65263
"31","NE",222783
"32","NV",188769
"33","NH",188654
"34","NJ",1195929
"35","NM",199099
"36","NY",2769122
"37","NC",1060895
"38","ND",51283
"39","OH",1180703
"4","AZ",576534
"40","OK",425757
"41","OR",499895
"42","PA",1582403
"44","RI",104191
"45","SC",653186
"46","SD",87538
"47","TN",813314
"48","TX",2719317
"49","UT",260129
"5","AR",255615
"50","VT",73727
"51","VA",1024676
"53","WA",785197
"54","WV",125013
"55","WI",692221
"56","WY",66098
"6","CA",4874624
"8","CO",940573
"9","CT",607072
