"snum","state","unemployed"
"1","AL",2476122
"10","DE",435874
"11","DC",1009068
"12","FL",9873503
"13","GA",5154359
"15","HI",460279
"16","ID",611236
"17","IL",8474192
"18","IN",2375897
"19","IA",1495937
"2","AK",275232
"20","KS",1549004
"21","KY",2074367
"22","LA",1255234
"23","ME",531382
"24","MD",4611134
"25","MA",6105308
"26","MI",5154089
"27","MN",3101399
"28","MS",939449
"29","MO",3224587
"30","MT",421915
"31","NE",801252
"32","NV",916288
"33","NH",947690
"34","NJ",6192755
"35","NM",929318
"36","NY",11729862
"37","NC",4657702
"38","ND",279952
"39","OH",5505968
"4","AZ",2645647
"40","OK",1169594
"41","OR",1798242
"42","PA",6462111
"44","RI",787434
"45","SC",2308592
"46","SD",298249
"47","TN",2929691
"48","TX",13726647
"49","UT",1488991
"5","AR",1047490
"50","VT",384399
"51","VA",6291784
"53","WA",3909411
"54","WV",502581
"55","WI",2121677
"56","WY",240890
"6","CA",19903868
"8","CO",3084970
"9","CT",2626774
