"snum","state","unemployed"
"11","DC",22388
"12","FL",142061
"13","GA",144551
"17","IL",257377
"18","IN",67786
"2","AK",4464
"20","KS",18874
"22","LA",52015
"24","MD",76440
"25","MA",97199
"26","MI",35473
"27","MN",30102
"28","MS",28076
"29","MO",87324
"30","MT",4812
"31","NE",24184
"32","NV",92430
"33","NH",6376
"34","NJ",203999
"35","NM",7499
"36","NY",319899
"37","NC",33348
"39","OH",74108
"4","AZ",30699
"40","OK",18413
"41","OR",17751
"42","PA",229584
"48","TX",234384
"50","VT",15974
"51","VA",116825
"53","WA",168166
"54","WV",12444
"55","WI",69006
"56","WY",4520
"6","CA",646618
"8","CO",88060
"9","CT",91521
