mo_age,mo_unemployed,ks_age,ks_unemployed
15,0,,0
16,3492,16,3651
17,,17,
18,10612,18,7008
19,,19,
20,4201,20,
21,4385,21,
22,,22,
23,,23,5550
24,8854,24,2030
25,,25,
26,,26,1820
27,3961,27,
28,,28,
29,3418,29,4670
30,3536,30,3426
31,3058,31,
32,2835,32,2121
33,,33,
34,,34,
35,,35,
36,,36,
37,,37,
38,,38,
39,,39,1631
40,,40,4042
41,2913,41,
42,,42,
43,,43,
44,,44,
45,,45,
46,,46,
47,3012,47,
48,,48,
49,2864,49,1580
50,,50,1573
51,5971,51,
52,2897,52,
53,,53,
54,3063,54,
55,,55,
56,5531,56,
57,3457,57,
58,,58,
59,3780,59,
60,,60,
61,5922,61,
62,,62,
63,2857,63,
64,,64,
65,,65,
66,,66,
67,,67,
68,,68,
69,2389,69,1878
70,,70,
71,,71,
72,,72,
73,,73,
74,,74,
75,,75,
76,,76,
77,,77,
78,,78,
79,,79,
80,2719,80,
