snum,state_abbr,bachelor_employed,master_employed,doctor_employed
1,AL,444832,247612,40823
10,DE,107975,43587,18565
11,DC,130167,100907,21867
12,FL,2624229,987350,190551
13,GA,1129454,515436,90617
15,HI,191389,46028,15460
16,ID,185432,61124,14891
17,IL,1616517,847419,87343
18,IN,688416,237590,54114
19,IA,375085,149594,33868
2,AK,65366,27523,6845
20,KS,314211,154900,41690
21,KY,432978,207437,35946
22,LA,373637,125523,37530
23,ME,174224,53138,9751
24,MD,692787,461113,121006
25,MA,1029871,610531,180443
26,MI,1079513,515409,99004
27,MN,812365,310140,64522
28,MS,187347,93945,8242
29,MO,672335,322459,57900
30,MT,125500,42191,6526
31,NE,273800,80125,22278
32,NV,264397,91629,18877
33,NH,196802,94769,18865
34,NJ,1343709,619275,119593
35,NM,163124,92932,19910
36,NY,2450557,1172986,276912
37,NC,1250203,465770,106090
38,ND,98969,27995,5128
39,OH,1212285,550597,118070
4,AZ,833144,264565,57653
40,OK,366643,116959,42576
41,OR,504989,179824,49990
42,PA,1559098,646211,158240
44,RI,147574,78743,10419
45,SC,620700,230859,65319
46,SD,124729,29825,8754
47,TN,759679,292969,81331
48,TX,3163910,1372665,271932
49,UT,371280,148899,26013
5,AR,248766,104749,25561
50,VT,83624,38440,7373
51,VA,1213231,629178,102468
53,WA,932707,390941,78520
54,WV,140167,50258,12501
55,WI,657722,212168,69222
56,WY,47959,24089,6610
6,CA,5011937,1990387,487462
8,CO,938187,308497,94057
9,CT,482286,262677,60707
